year,quarter,region,market_final,channel,viewability_percentage,unsafe_percentage,total_fraud_precentage
2019,Q4,APAC,Hong Kong,Mobile in app,58.00%,4.40%,4.80%
2019,Q4,APAC,Hong Kong,Video,57.00%,9.40%,2.30%
2019,Q4,APAC,India,Display,52.00%,5.30%,6.40%
2019,Q4,APAC,India,Mobile in app,62.00%,4.40%,1.70%
2019,Q4,APAC,India,Video,72.00%,9.40%,2.50%
2019,Q4,APAC,Indonesia,Display,43.00%,2.60%,2.40%
2019,Q4,APAC,Indonesia,Mobile in app,70.00%,1.00%,0.80%
2019,Q4,APAC,Indonesia,Video,58.00%,14.20%,0.60%
2019,Q4,APAC,Japan,Display,47.00%,5.40%,3.30%
2019,Q4,APAC,Japan,Mobile in app,63.00%,0.90%,1.30%
2019,Q4,APAC,Japan,Video,68.00%,5.80%,1.30%
2019,Q4,APAC,Malaysia,Display,54.00%,5.30%,2.70%
2019,Q4,APAC,Malaysia,Mobile in app,62.00%,4.40%,1.40%
2019,Q4,APAC,Malaysia,Video,69.00%,9.40%,1.30%
2019,Q4,APAC,New Zealand,Display,58.00%,5.30%,2.90%
2019,Q4,APAC,New Zealand,Mobile in app,39.00%,4.40%,1.10%
2019,Q4,APAC,New Zealand,Video,70.00%,9.40%,1.40%
2019,Q4,APAC,Pakistan,Display,55.00%,5.30%,4.70%
2019,Q4,APAC,Pakistan,Mobile in app,56.00%,4.40%,2.00%
2019,Q4,APAC,Pakistan,Video,62.00%,9.40%,2.00%
2019,Q4,APAC,Philippines,Display,51.00%,5.30%,3.70%
2019,Q4,APAC,Philippines,Mobile in app,72.00%,4.40%,0.90%
2019,Q4,APAC,Philippines,Video,68.00%,9.40%,1.10%
2019,Q4,APAC,Singapore,Display,55.00%,5.30%,5.70%
2019,Q4,APAC,Singapore,Mobile in app,65.00%,4.40%,3.10%
2019,Q4,APAC,Singapore,Video,69.00%,9.40%,1.80%
2019,Q4,APAC,South Korea,Display,41.00%,5.30%,6.10%
2019,Q4,APAC,South Korea,Mobile in app,73.00%,4.40%,1.40%
2019,Q4,APAC,South Korea,Video,59.00%,9.40%,1.10%
2019,Q4,APAC,Taiwan,Display,46.00%,5.30%,2.30%
2019,Q4,APAC,Taiwan,Mobile in app,60.00%,4.40%,1.00%
2019,Q4,APAC,Taiwan,Video,43.00%,9.40%,2.20%
2019,Q4,APAC,Thailand,Display,55.00%,5.30%,2.50%
2019,Q4,APAC,Thailand,Mobile in app,66.00%,4.40%,2.60%
2019,Q4,APAC,Thailand,Video,76.00%,9.40%,3.10%
2019,Q4,APAC,Vietnam,Display,55.00%,5.30%,2.70%
2019,Q4,APAC,Vietnam,Mobile in app,72.00%,4.40%,0.70%
2019,Q4,APAC,Vietnam,Video,67.00%,9.40%,1.10%
2019,Q4,Eastern Europe,Bulgaria,Display,53.00%,3.80%,5.30%
2019,Q4,Eastern Europe,Bulgaria,Mobile in app,43.00%,2.70%,10.30%
2019,Q4,Eastern Europe,Bulgaria,Video,78.00%,34.50%,3.90%
2019,Q4,Eastern Europe,Czech Republic,Display,53.00%,3.80%,4.30%
2019,Q4,Eastern Europe,Czech Republic,Mobile in app,63.00%,2.70%,7.70%
2019,Q4,Eastern Europe,Czech Republic,Video,74.00%,34.50%,3.80%
2019,Q4,Eastern Europe,Greece,Display,61.00%,3.80%,2.60%
2019,Q4,Eastern Europe,Greece,Mobile in app,60.00%,2.70%,1.60%
2019,Q4,Eastern Europe,Greece,Video,70.00%,34.50%,2.50%
2019,Q4,Eastern Europe,Hungary,Display,56.00%,3.80%,4.40%
2019,Q4,Eastern Europe,Hungary,Mobile in app,50.00%,2.70%,2.70%
2019,Q4,Eastern Europe,Hungary,Video,75.00%,34.50%,4.40%
2019,Q4,Eastern Europe,Poland,Display,59.00%,3.80%,3.50%
2019,Q4,Eastern Europe,Poland,Mobile in app,40.00%,2.70%,2.30%
2019,Q4,Eastern Europe,Poland,Video,75.00%,34.50%,3.00%
2019,Q4,Eastern Europe,Romania,Display,53.00%,3.80%,2.60%
2019,Q4,Eastern Europe,Romania,Mobile in app,59.00%,2.70%,2.20%
2019,Q4,Eastern Europe,Romania,Video,69.00%,34.50%,1.70%
2019,Q4,Eastern Europe,Russia,Display,50.00%,3.80%,3.60%
2019,Q4,Eastern Europe,Russia,Mobile in app,82.00%,2.70%,1.30%
2019,Q4,Eastern Europe,Russia,Video,72.00%,34.50%,3.20%
2019,Q4,Eastern Europe,Ukraine,Display,55.00%,3.80%,8.80%
2019,Q4,Eastern Europe,Ukraine,Mobile in app,55.00%,2.70%,3.70%
2019,Q4,Eastern Europe,Ukraine,Video,79.00%,34.50%,4.00%
2019,Q4,LATAM,Argentina,Display,57.00%,5.50%,3.20%
2019,Q4,LATAM,Argentina,Mobile in app,64.00%,1.90%,0.80%
2019,Q4,LATAM,Argentina,Video,69.00%,9.30%,0.80%
2019,Q4,LATAM,Brazil,Display,54.00%,5.50%,1.90%
2019,Q4,LATAM,Brazil,Mobile in app,69.00%,2.30%,1.00%
2019,Q4,LATAM,Brazil,Video,71.00%,11.40%,1.50%
2019,Q4,LATAM,Chile,Display,58.00%,5.50%,5.80%
2019,Q4,LATAM,Chile,Mobile in app,70.00%,1.90%,0.60%
2019,Q4,LATAM,Chile,Video,72.00%,9.30%,0.80%
2019,Q4,LATAM,Colombia,Display,55.00%,5.50%,4.50%
2019,Q4,LATAM,Colombia,Mobile in app,63.00%,1.90%,2.40%
2019,Q4,LATAM,Colombia,Video,70.00%,9.30%,1.10%
2019,Q4,LATAM,Dominican Republic,Display,47.00%,5.50%,4.00%
2019,Q4,LATAM,Dominican Republic,Mobile in app,57.00%,1.90%,1.10%
2019,Q4,LATAM,Dominican Republic,Video,70.00%,9.30%,1.00%
